airport_name,iata_code,country_code,city,airport_type,latitude,longitude
Gerad Wilwal International Airport,JIJ,ET,Jijiga,large_airport,9.331907,42.911811
Baco Airport,BCO,ET,Jinka,medium_airport,5.749655,36.560165
Jimma Airport,JIM,ET,Jimma,medium_airport,7.66609001159668,36.81660079956055
Kebri Dahar Airport,ABK,ET,Kebri Dahar,medium_airport,6.732577,44.241339
Hawassa International Airport,AWA,ET,Hawassa,large_airport,7.100611,38.396455
Mekele Alula Aba Nega Airport,MQX,ET,Mekele,medium_airport,13.4674,39.533501
Asosa Airport,ASO,ET,Asosa,medium_airport,10.018500328063965,34.586299896240234
Bujumbura Melchior Ndadaye International Airport,BJM,BI,Bujumbura,large_airport,-3.32402,29.318501
Gitega Airport,GID,BI,Gitega,medium_airport,-3.417209,29.911308
Bender Qassim International Airport,BSA,SO,Bosaso,large_airport,11.275235,49.139231
Egal International Airport,HGA,SO,Hargeisa,large_airport,9.514082,44.083469
Berbera Airport,BBO,SO,Berbera,medium_airport,10.385035,44.936723
Kismayo Airport,KMU,SO,Kismayo,medium_airport,-0.377353,42.459202
Aden Adde International Airport,MGQ,SO,Mogadishu,large_airport,2.01444,45.304699
Djibouti-Ambouli Airport,JIB,DJ,Djibouti City,large_airport,11.5473,43.1595
Bardawil International Airport,RDL,EG,El Hassana,medium_airport,30.410714,33.15535
El Alamein International Airport,DBB,EG,El Alamein,large_airport,30.924324,28.46161
El Arish International Airport,AAC,EG,El Arish,large_airport,31.055324,33.827964
Asyut International Airport,ATZ,EG,Asyut,large_airport,27.045962,31.01276
Alexandria International Airport,HBE,EG,Alexandria,large_airport,30.93249,29.696437
Abu Simbel Airport,ABS,EG,Abu Simbel,medium_airport,22.375924,31.611734
Cairo International Airport,CAI,EG,Cairo,large_airport,30.111534,31.396694
Capital International Airport,CCE,EG,New Cairo,medium_airport,30.06465,31.839974
Hurghada International Airport,HRG,EG,Hurghada,large_airport,27.176776,33.796692
El Jora Airport,EGH,EG,El Jora,medium_airport,31.078138,34.153131
Luxor International Airport,LXR,EG,Luxor,large_airport,25.671018,32.706446
Marsa Alam International Airport,RMF,EG,Marsa Alam,large_airport,25.555548,34.59245
Mersa Matruh International Airport,MUH,EG,Marsa Matruh,large_airport,31.324313,27.22227
Port Said International Airport,PSD,EG,Port Said,large_airport,31.279285,32.240582
Saint Catherine International Airport,SKV,EG,Saint Catherine,medium_airport,28.684292,34.064409
Sohag International Airport,HMB,EG,Suhaj,large_airport,26.342515,31.743017
Sharm El Sheikh International Airport,SSH,EG,Sharm El Sheikh,large_airport,27.977272,34.394717
Aswan International Airport,ASW,EG,Aswan,large_airport,23.961075,32.820382
Sphinx International Airport,SPX,EG,Al Jiza,large_airport,30.108179,30.895728
Taba International Airport,TCP,EG,Taba,medium_airport,29.594496,34.775752
Asmara International Airport,ASM,ER,Asmara,large_airport,15.2919,38.910702
Massawa International Airport,MSW,ER,Massawa,medium_airport,15.67,39.370098
Assab International Airport,ASA,ER,Assab,medium_airport,13.0718,42.645
Juba International Airport,JUB,SS,Juba,large_airport,4.87201,31.601101
Amboseli Airport,ASV,KE,Ol Tukai,medium_airport,-2.644786,37.252922
Eldoret International Airport,EDL,KE,Eldoret,large_airport,0.404458,35.238899
Jomo Kenyatta International Airport,NBO,KE,Nairobi,large_airport,-1.318886,36.928233
Kisumu International Airport,KIS,KE,Kisumu,large_airport,-0.086139,34.728901
Kitale Airport,KTL,KE,Kitale,medium_airport,0.971989,34.958599
Lokichogio Airport,LKG,KE,Lokichogio,medium_airport,4.20412,34.348202
Lodwar Airport,LOK,KE,Lodwar,medium_airport,3.12197,35.6087
Manda Airport,LAU,KE,Lamu,medium_airport,-2.252431,40.912892
Malindi International Airport,MYD,KE,Malindi,medium_airport,-3.22931,40.1017
Moi International Airport,MBA,KE,Mombasa,large_airport,-4.03483,39.5942
Mara Serena Lodge Airstrip,MRE,KE,Serena,medium_airport,-1.404588,35.008349
Nakuru Lanet Airport,NUU,KE,Nakuru,medium_airport,-0.298419,36.159193
Nanyuki Civil Airport,NYK,KE,Gathiuru,medium_airport,-0.062352,37.041296
Nairobi Wilson Airport,WIL,KE,Nairobi,medium_airport,-1.32172,36.8148
Wajir Airport,WJR,KE,Wajir,medium_airport,1.73324,40.091599
Sirt International Airport / Ghardabiya Airbase,SRX,LY,Sirt,large_airport,31.058578,16.597095
Ghat Airport,GHT,LY,Ghat,medium_airport,25.1455993652,10.1426000595
Kufra Airport,AKF,LY,Kufra,medium_airport,24.178699493408203,23.31399917602539
Benina International Airport,BEN,LY,Benina,large_airport,32.096802,20.269501
Mitiga International Airport,MJI,LY,Tripoli,large_airport,32.89177,13.287878
Al Abraq International Airport,LAQ,LY,Al Albraq,large_airport,32.789036,21.954864
Sabha Airport,SEB,LY,Sabha,medium_airport,26.992452,14.466162
Marsa al Brega Airport,LMQ,LY,Marsa al Brega,medium_airport,30.378099,19.576401
Ghadames Airport,LTD,LY,Ghadames,medium_airport,30.145484,9.702095
Gisenyi Airport,GYI,RW,Gisenyi,medium_airport,-1.6771999597549438,29.258899688720703
Kigali International Airport,KGL,RW,Kigali,large_airport,-1.96863,30.1395
Kamembe Airport,KME,RW,Kamembe,medium_airport,-2.462239980697632,28.907899856567383
Dongola Airport,DOG,SD,Dongola,medium_airport,19.153666,30.430069
El Fasher Airport,ELF,SD,El Fasher,medium_airport,13.61489963531494,25.32460021972656
